Folder,Filename,Project Name,Before or After?,Keywords (separate with semicolons),Notes
outdoor-living,Stained-Concrete-Gazebo-Outdoor-Living.jpg,,,gazebo; stained concrete; outdoor living; patio,
outdoor-living,Stamped-and-Stained-Concrete-Patio-with-Cedar-Pergola.jpg,,,stamped concrete; stained concrete; cedar pergola; patio; outdoor living,
outdoor-living,Swimming-Pool-Knockout-Roses-Ivy.jpg,,,swimming pool; knockout roses; ivy; pool; flowers,
,,,,,,
water-features,Basalt-Column-Water-Feature-and-Dry-River-Bed.jpg,,,basalt column; water feature; dry river bed; rock; water,
water-features,Basalt-Water-Feature-Dry-River-Bed.jpg,,,basalt; water feature; dry river bed; rock,
water-features,Contemperaty-Water-Feature.jpg,,,contemporary; water feature; modern; water,
water-features,Garden-Water-Fountain.jpg,,,garden; fountain; water feature; water garden,
water-features,Hot-Tub-Swimming-Pool-Fountain.jpg,,,hot tub; swimming pool; fountain; pool; water feature,
water-features,Hot-Tub-Water-Fountain.jpg,,,hot tub; fountain; water feature; water,
water-features,Invisible-Basin-Water-Feature.jpg,,,invisible basin; pondless; water feature; water; basin,
water-features,Irrigation-and-Pond-Maintenance.jpg,,,irrigation; pond; maintenance; water; pond maintenance,
water-features,Leaky-Faucet-Water-Feature.jpg,,,water feature; spigot; faucet; unique; water,
water-features,Outdoor-Living-Tuscan-Multi-Basin-Fountain.jpg,,,tuscan; fountain; multi-basin; outdoor living; water feature,
water-features,Pottery-Fountain.jpg,,,pottery; fountain; pot; water feature; ceramic,
water-features,Rock-Creek-River-Bed-Pond.jpg,,,rock creek; river bed; pond; water feature; naturalistic,
water-features,Rock-Swimming-Pool-Waterfall.jpg,,,swimming pool; waterfall; rock; water feature; pool,
water-features,Rock-Water-Fall-Swimming-Pool.jpg,,,rock; waterfall; swimming pool; water feature; pool,
water-features,Rustic-Column-Water-Feature.jpg,,,rustic; column; water feature; stone; water,
water-features,Rustic-Southern-Fountain.jpg,,,rustic; southern; fountain; water feature,
water-features,Southwest-Water-Fountain.jpg,,,southwest; fountain; water feature; desert style,
water-features,Spill-Over-Pottery-Water-Feature-with-Magnolias-and-Japanese-Maples-and-Flagstone-Pathway.jpg,,,spill over pottery; water feature; magnolia; japanese maple; flagstone; pathway,
water-features,Stream-with-bridge.jpg,,,stream; bridge; water feature; naturalistic; creek,
water-features,Tower-fountains.jpg,,,tower fountain; water feature; fountain,
water-features,Tuscan-Pottery-Fountain.jpg,,,tuscan; pottery; fountain; water feature; ceramic,
water-features,Waterfall-Rock-Boulders.jpg,,,waterfall; rock; boulders; water feature,
,,,,,,
projects,ashley-002.jpg,,,"(Add keywords after reviewing photo)",Street name needed from David
projects,ashley-009.jpg,,,"(Add keywords after reviewing photo)",Street name needed from David
projects,ashley-044.jpg,,,"(Add keywords after reviewing photo)",Street name needed from David
projects,ashley-045.jpg,,,"(Add keywords after reviewing photo)",Street name needed from David
projects,clifford-001.jpg,,,"(Add keywords after reviewing photo)",Street name needed from David
projects,clifford-003.jpg,,,"(Add keywords after reviewing photo)",Street name needed from David
projects,Hardy-242.JPG,,,"(Add keywords after reviewing photo)",Street name needed from David
projects,Hardy-259.JPG,,,"(Add keywords after reviewing photo)",Street name needed from David
projects,JOE-TS-003.jpg,,,"(Add keywords after reviewing photo)",Street name needed from David
projects,JOE-TS-007.jpg,,,"(Add keywords after reviewing photo)",Street name needed from David
projects,P1010009-500x330.jpg,,,"(Add keywords after reviewing photo)",Street name needed from David
projects,P1010044a-500x330.jpg,,,"(Add keywords after reviewing photo)",Street name needed from David
projects,P1010168-e1531847922513.jpg,,,"(Add keywords after reviewing photo)",Street name needed from David
projects,P1010218.jpg,,,"(Add keywords after reviewing photo)",Street name needed from David
projects,P1010219.jpg,,,"(Add keywords after reviewing photo)",Street name needed from David
projects,P1130026.jpg,,,"(Add keywords after reviewing photo)",Street name needed from David
projects,P2280077.jpg,,,"(Add keywords after reviewing photo)",Street name needed from David
projects,P7150005rev-0.jpg,,,"(Add keywords after reviewing photo)",Street name needed from David
projects,P7150006.jpg,,,"(Add keywords after reviewing photo)",Street name needed from David
projects,PA090013.jpg,,,"(Add keywords after reviewing photo)",Street name needed from David
projects,PA090039.jpg,,,"(Add keywords after reviewing photo)",Street name needed from David
projects,PB160054.jpg,,,"(Add keywords after reviewing photo)",Street name needed from David
projects,PB160060.jpg,,,"(Add keywords after reviewing photo)",Street name needed from David
projects,PB160077.jpg,,,"(Add keywords after reviewing photo)",Street name needed from David
projects,AR000502.jpg,,,"(Add keywords after reviewing photo)",Street name needed from David
projects,AR001502.jpg,,,"(Add keywords after reviewing photo)",Street name needed from David
projects,8609.jpg,,,"(Add keywords after reviewing photo)",Street name needed from David
projects,DSC01480.jpg,,,"(Add keywords after reviewing photo)",Street name needed from David
projects,Testimonials-4-001.jpg,,,"(Add keywords after reviewing photo)",May be a testimonial photo rather than a project — confirm with David
,,,,,,
misc,1.jpg,,,,(Pending David review) — identify subject and project before tagging
misc,10497451_874980929191822_274104051123307726_o.jpg,,,,(Pending David review) — Facebook export; identify subject
misc,10603965_874980835858498_5371503647421050174_o.jpg,,,,(Pending David review) — Facebook export; identify subject
misc,10918984_874980892525159_3852677127837876974_o-1024x768.jpg,,,,(Pending David review) — Facebook export; identify subject
misc,10960107_874981095858472_3314235866754105971_o.jpg,,,,(Pending David review) — Facebook export; identify subject
misc,10960538_874981089191806_345655716200471226_o.jpg,,,,(Pending David review) — Facebook export; identify subject
misc,10999098_916333671723214_2431577683514744911_o.jpg,,,,(Pending David review) — Facebook export; identify subject
misc,11048734_916332855056629_9140407415857643234_o.jpg,,,,(Pending David review) — Facebook export; identify subject
misc,11164752_916333315056583_4101211478600336460_o.jpg,,,,(Pending David review) — Facebook export; identify subject
misc,20170320_105522-scaled.jpg,,,,(Pending David review) — phone photo March 2017; identify subject
misc,20170320_105545-scaled.jpg,,,,(Pending David review) — phone photo March 2017; identify subject
misc,20170501_091134-1.jpg,,,,(Pending David review) — phone photo May 2017; identify subject
misc,20170613_132248-scaled.jpg,,,,(Pending David review) — phone photo June 2017; identify subject
misc,20170623_1219330-scaled.jpg,,,,(Pending David review) — phone photo June 2017; identify subject
misc,20170629_090000.jpg,,,,(Pending David review) — phone photo June 2017; identify subject
misc,20171006_155642.jpg,,,,(Pending David review) — phone photo October 2017; identify subject
misc,2020-09-15.jpg,,,,(Pending David review) — September 2020; identify subject
misc,Home-and-Garden-Show-Awards-700x395.jpg,,,awards; home and garden show; recognition,Award photo — likely belongs in team-branding
misc,daniel-watson-75022.jpg,,,,(Pending David review) — confirm if this is a stock/filler photo or a real project
misc,kitchen-garden-sprinkler-gardening-garden-730923.jpeg,,,sprinkler; irrigation; garden; water,Stock/generic photo — confirm if needed
